"grp","var1","var2","vcov","sdcor","Modelo"
"Unidade_de_Negocio","(Intercept)",NA,0.00118602678498318,0.0344387395963205,"FHC 12"
"Localizacao_munic","(Intercept)",NA,0.000150080000574846,0.0122507142883526,"FHC 12"
"Residual",NA,NA,0.00131933892509106,0.0363227053658047,"FHC 12"
